Data Size,Average,Standard Deviation
8302,10.96600758,11.7716374
8303,10.9679156,11.77186225
8304,10.9698169,11.7698474
8305,10.96366673,11.7682733
8306,10.97025978,11.76972632
8307,10.97092753,11.76898259
8308,10.97592643,11.76815464
8309,10.97571369,11.76571839
8310,10.97329387,11.76644362
8311,10.97226502,11.76433818
8312,10.97517123,11.76227312
8313,10.96971307,11.76183261
8314,10.97668146,11.76207257
8315,10.97004049,11.76074295
8316,10.97582179,11.7560319
8317,10.96861365,11.75430551
8318,10.97375984,11.75686063
8319,10.96855333,11.75566167
8320,10.96721638,11.75674135
8321,10.97435128,11.75287771
8322,10.97197469,11.75535012
8323,10.96936428,11.75208246
8324,10.96979682,11.75562372
8325,10.97266562,11.7495755
8326,10.96849405,11.75052904
8327,10.96990404,11.74707512
8328,10.97862948,11.74938439
8329,10.97382572,11.74792227
8330,10.97183926,11.74660322
8331,10.97763368,11.74998734
8332,10.97170318,11.74555568
8333,10.9736758,11.74208233
8334,10.97420403,11.74480391
8335,10.97657201,11.73968
8336,10.97083064,11.73776726
8337,10.97758412,11.74193441
8338,10.97268056,11.74009829
8339,10.97797704,11.73676772
8340,10.9708533,11.73964305
8341,10.97300886,11.73601017
8342,10.97139406,11.73642607
8343,10.97345271,11.73437368
8344,10.97854622,11.7340236
8345,10.97718329,11.73470354
8346,10.97604185,11.73385152
